=== SEEDER RUN STARTED Sun Apr  5 12:24:07 EDT 2026 ===

=== PHASE 1: Cross-seed from pricing models ===
Started: Sun Apr  5 12:24:07 EDT 2026
Cities: 739 | Services: roofing, hvac, plumbing, electrical, solar | Max: all
  SEED Dothan, AL [hvac] = $8,100 (trust=90)
  SEED Dothan, AL [plumbing] = $2,100 (trust=90)
  SEED Dothan, AL [electrical] = $2,100 (trust=90)
  SEED Dothan, AL [solar] = $23,600 (trust=90)
  SEED Florence, AL [roofing] = $10,200 (trust=90)
  SEED Florence, AL [hvac] = $8,300 (trust=90)
  SEED Florence, AL [plumbing] = $2,300 (trust=90)
  SEED Florence, AL [electrical] = $2,300 (trust=90)
  SEED Florence, AL [solar] = $25,800 (trust=90)
  SEED Hoover, AL [roofing] = $11,300 (trust=90)
  SEED Hoover, AL [hvac] = $8,700 (trust=90)
  SEED Hoover, AL [plumbing] = $2,400 (trust=90)
  SEED Hoover, AL [electrical] = $2,300 (trust=90)
  SEED Hoover, AL [solar] = $26,400 (trust=90)
  SEED Huntsville, AL [hvac] = $9,000 (trust=90)
  SEED Huntsville, AL [plumbing] = $2,300 (trust=90)
  SEED Huntsville, AL [electrical] = $2,400 (trust=90)
  SEED Huntsville, AL [solar] = $27,200 (trust=90)
  SEED Madison, AL [roofing] = $10,900 (trust=90)
  SEED Madison, AL [hvac] = $8,500 (trust=90)
  SEED Madison, AL [plumbing] = $2,300 (trust=90)
  SEED Madison, AL [electrical] = $2,300 (trust=90)
  SEED Madison, AL [solar] = $25,700 (trust=90)
  SEED Mobile, AL [roofing] = $10,800 (trust=90)
  SEED Mobile, AL [hvac] = $8,600 (trust=90)
  SEED Mobile, AL [plumbing] = $2,400 (trust=90)
  SEED Mobile, AL [electrical] = $2,400 (trust=90)
  SEED Mobile, AL [solar] = $27,100 (trust=90)
  SEED Montgomery, AL [roofing] = $10,900 (trust=90)
  SEED Montgomery, AL [hvac] = $8,600 (trust=90)
  SEED Montgomery, AL [plumbing] = $2,300 (trust=90)
  SEED Montgomery, AL [electrical] = $2,200 (trust=90)
  SEED Montgomery, AL [solar] = $25,300 (trust=90)
  SEED Phenix City, AL [roofing] = $10,900 (trust=90)
  SEED Phenix City, AL [hvac] = $8,500 (trust=90)
  SEED Phenix City, AL [plumbing] = $2,300 (trust=90)
  SEED Phenix City, AL [electrical] = $2,300 (trust=90)
  SEED Phenix City, AL [solar] = $25,700 (trust=90)
