city,state,state_code,population
New York,New York,NY,8336817
Los Angeles,California,CA,3820914
Chicago,Illinois,IL,2664452
Houston,Texas,TX,2304580
Phoenix,Arizona,AZ,1650070
Philadelphia,Pennsylvania,PA,1576251
San Antonio,Texas,TX,1452510
San Diego,California,CA,1388320
Dallas,Texas,TX,1304379
Jacksonville,Florida,FL,985843
Austin,Texas,TX,979882
Fort Worth,Texas,TX,978468
San Jose,California,CA,969655
Columbus,Ohio,OH,913175
Charlotte,North Carolina,NC,911311
Indianapolis,Indiana,IN,887642
San Francisco,California,CA,808988
Seattle,Washington,WA,755078
Denver,Colorado,CO,715522
Oklahoma City,Oklahoma,OK,702767
Nashville,Tennessee,TN,689447
El Paso,Texas,TX,678958
Boston,Massachusetts,MA,675647
Portland,Oregon,OR,630498
Las Vegas,Nevada,NV,660929
Detroit,Michigan,MI,633218
Memphis,Tennessee,TN,618639
Louisville,Kentucky,KY,617638
Baltimore,Maryland,MD,565239
Milwaukee,Wisconsin,WI,561385
Albuquerque,New Mexico,NM,560274
Tucson,Arizona,AZ,547239
Fresno,California,CA,545716
Mesa,Arizona,AZ,511648
Atlanta,Georgia,GA,510823
Kansas City,Missouri,MO,510704
Colorado Springs,Colorado,CO,488664
Omaha,Nebraska,NE,486051
Raleigh,North Carolina,NC,482295
Miami,Florida,FL,455924
Virginia Beach,Virginia,VA,453649
Long Beach,California,CA,451307
Oakland,California,CA,436504
Minneapolis,Minnesota,MN,425115
Tulsa,Oklahoma,OK,411894
Bakersfield,California,CA,403455
Wichita,Kansas,KS,396119
Arlington,Texas,TX,394266
Aurora,Colorado,CO,395052
Tampa,Florida,FL,403364
Orlando,Florida,FL,320742
Cleveland,Ohio,OH,362656
Pittsburgh,Pennsylvania,PA,302971
Cincinnati,Ohio,OH,311097
