priority,query,vertical,seed,value,kind,commercialScore,existingPage,newPageNeeded
160.0,"auto repair cost estimate",auto-repair,"auto repair cost",100,top,6,,true
150.0,"how much does heat pump cost",hvac,"heat pump cost",100,top,5,,true
150.0,"how much new roof cost",roof,"new roof cost",100,top,5,,true
150.0,"how much does a metal roof cost",roof,"metal roof cost",100,top,5,,true
150.0,"how much does plumbing cost",plumbing,"plumbing cost",100,top,5,,true
150.0,"how much does plumber cost",plumbing,"plumber cost",100,top,5,,true
150.0,"how much does electrician cost",electrical,"electrician cost",100,top,5,,true
150.0,"average solar installation cost",solar,"solar installation cost",100,top,5,,true
150.0,"how much does concrete cost",concrete,"concrete cost",100,top,5,,true
150.0,"concrete per square foot cost",concrete,"concrete per square foot",100,top,5,,true
150.0,"interior painting cost per square foot",painting,"interior painting cost",100,top,5,,true
150.0,"how much does a painter cost",painting,"painter cost",100,top,5,,true
150.0,"how much does a fence cost",fence,"fence cost",100,top,5,,true
150.0,"how much does vinyl fence cost",fence,"vinyl fence cost",100,top,5,,true
150.0,"cost of fence per linear foot",fence,"fence per linear foot",100,top,5,,true
150.0,"how much does vinyl siding cost",siding,"vinyl siding cost",100,top,5,,true
150.0,"how much does a new window cost",window,"new window cost",100,top,5,,true
150.0,"how much does attic insulation cost",insulation,"attic insulation cost",100,top,5,,true
150.0,"how much does blown in insulation cost",insulation,"blown in insulation cost",100,top,5,,true
150.0,"average gutter cost",gutter,"gutter cost",100,top,5,,true
150.0,"how much does gutter guard cost",gutter,"gutter guard cost",100,top,5,,true
150.0,"how much does landscape design cost",landscaping,"landscape design cost",100,top,5,,true
150.0,"how much does kitchen remodel cost",kitchen-remodel,"kitchen remodel cost",100,top,5,,true
150.0,"average kitchen cabinet cost",kitchen-remodel,"kitchen cabinet cost",100,top,5,,true
150.0,"how much garage door cost",garage-door,"garage door cost",100,top,5,,true
150.0,"average brake job cost",auto-repair,"brake job cost",100,top,5,,true
150.0,"how much does a lawyer cost",legal,"lawyer cost",100,top,5,,true
150.0,"how much does a divorce lawyer cost",legal,"divorce lawyer cost",100,top,5,,true
150.0,"how much does estate planning cost",legal,"estate planning cost",100,top,5,,true
150.0,"how much does moving cost",moving,"moving cost",100,top,5,,true
150.0,"how much does a mover cost",moving,"mover cost",100,top,5,,true
150.0,"how much does moving company cost",moving,"moving company cost",100,top,5,,true
148.0,"how much does a brake job cost",auto-repair,"brake job cost",98,top,5,,true
146.0,"how much does a garage door opener cost",garage-door,"garage door opener cost",96,top,5,,true
144.0,"how much solar panels cost",solar,"solar panels cost",94,top,5,,true
144.0,"how much does interior painting cost",painting,"interior painting cost",94,top,5,,true
144.0,"how much does window installation cost",window,"window installation cost",94,top,5,,true
143.0,"how much does a roof cost",roof,"roof cost",93,top,5,,true
143.0,"how much does foundation repair cost",foundation,"foundation repair cost",93,top,5,,true
140.0,"how much does hvac cost",hvac,"hvac cost",90,top,5,,true
134.0,"average roof cost",roof,"roof cost",84,top,5,,true
134.0,"how much does a kitchen remodel cost",kitchen-remodel,"kitchen remodel cost",84,top,5,,true
133.0,"average moving cost",moving,"moving cost",83,top,5,,true
132.0,"average fence installation cost",fence,"fence installation cost",82,top,5,,true
132.0,"how much does a moving company cost",moving,"moving company cost",82,top,5,,true
131.0,"how much does a heat pump cost",hvac,"heat pump cost",81,top,5,,true
131.0,"how much does a driveway cost",concrete,"driveway cost",81,top,5,,true
130.0,"new hvac cost",hvac,"hvac cost",100,top,3,,true
130.0,"car ac replacement cost",hvac,"ac replacement cost",100,top,3,,true
130.0,"new furnace cost",hvac,"furnace cost",100,top,3,,true
130.0,"hvac quotes",hvac,"hvac quote",100,top,3,,true
130.0,"metal roof cost",roof,"roof cost",100,top,3,metal-roof-cost.html,false
130.0,"cost of roof replacement",roof,"roof replacement cost",100,top,3,,true
130.0,"roofing quotes",roof,"roofing quote",100,top,3,,true
130.0,"hot water heater cost",plumbing,"water heater cost",100,top,3,,true
130.0,"pex repipe cost",plumbing,"repipe cost",100,top,3,,true
130.0,"plumbing estimates",plumbing,"plumbing estimate",100,top,3,,true
130.0,"electrical quotes",electrical,"electrical quote",100,top,3,,true
130.0,"cost of solar panels",solar,"solar panels cost",100,top,3,,true
130.0,"the solar quote",solar,"solar quote",100,top,3,,true
130.0,"asphalt driveway cost",concrete,"driveway cost",100,top,3,,true
130.0,"stamped concrete patio cost",concrete,"concrete patio cost",100,top,3,,true
130.0,"house painting cost exterior",painting,"house painting cost",100,top,3,,true
130.0,"painting quotes",painting,"painting quote",100,top,3,,true
130.0,"wood fence cost per foot",fence,"wood fence cost",100,top,3,,true
130.0,"vinyl fence installation cost",fence,"fence installation cost",100,top,3,,true
130.0,"house foundation repair cost",foundation,"foundation repair cost",100,top,3,,true
130.0,"foundation quotes",foundation,"foundation quote",100,top,3,,true
130.0,"vinyl siding cost",siding,"siding cost",100,top,3,,true
130.0,"vinyl siding installation cost",siding,"siding installation cost",100,top,3,,true
130.0,"window installation cost home depot",window,"window installation cost",100,top,3,,true
