priority,canonicalQuery,vertical,intent,template,memberCount,newPageNeeded,existingPage,variants
160.0,"auto repair cost estimate",auto-repair,transactional,transactional,1,true,,"auto repair cost estimate"
150.0,"how much does heat pump cost",hvac,commercial,table-led,7,true,,"how much does heat pump cost | how much does a heat pump cost | electric heat pump cost | geothermal heat pump cost | new heat pump cost | ductless heat pump cost | heat pump cost calculator"
150.0,"how much new roof cost",roof,commercial,table-led,9,true,,"how much new roof cost | how much does a roof cost | how much does new roof cost | how much does a new roof cost | new roof cost | how much is a new roof cost | what does a new roof cost | cost of new roof | how much should a new roof cost"
150.0,"how much does a metal roof cost",roof,commercial,table-led,4,false,metal-roof-cost.html,"how much does a metal roof cost | metal roof cost | metal roof cost calculator | metal roof replacement cost"
150.0,"how much does plumbing cost",plumbing,commercial,table-led,1,true,,"how much does plumbing cost"
150.0,"how much does plumber cost",plumbing,commercial,table-led,2,true,,"how much does plumber cost | how much does a plumber cost"
150.0,"how much does electrician cost",electrical,commercial,table-led,2,true,,"how much does electrician cost | how much does an electrician cost"
150.0,"average solar installation cost",solar,commercial,table-led,2,true,,"average solar installation cost | how much does solar installation cost"
150.0,"how much does concrete cost",concrete,commercial,table-led,1,true,,"how much does concrete cost"
150.0,"concrete per square foot cost",concrete,commercial,table-led,5,true,,"concrete per square foot cost | concrete cost per square foot | concrete patio cost per square foot | stamped concrete cost per square foot | how much is concrete per square foot"
150.0,"interior painting cost per square foot",painting,commercial,table-led,2,true,,"interior painting cost per square foot | exterior painting cost per square foot"
150.0,"how much does a painter cost",painting,commercial,table-led,1,true,,"how much does a painter cost"
150.0,"how much does a fence cost",fence,commercial,table-led,3,true,,"how much does a fence cost | new fence cost | how much does a new fence cost"
150.0,"how much does vinyl fence cost",fence,commercial,table-led,5,true,,"how much does vinyl fence cost | vinyl fence installation cost | how much does a vinyl fence cost | vinyl fence cost | white vinyl fence cost"
150.0,"cost of fence per linear foot",fence,commercial,table-led,3,true,,"cost of fence per linear foot | fence cost per foot | how much does a fence cost per foot"
150.0,"how much does vinyl siding cost",siding,commercial,table-led,5,true,,"how much does vinyl siding cost | vinyl siding cost | vinyl siding installation cost | vinyl siding cost calculator | insulated vinyl siding cost"
150.0,"how much does a new window cost",window,commercial,table-led,1,true,,"how much does a new window cost"
150.0,"how much does attic insulation cost",insulation,commercial,table-led,2,true,,"how much does attic insulation cost | blown in attic insulation cost"
150.0,"how much does blown in insulation cost",insulation,commercial,table-led,3,true,,"how much does blown in insulation cost | blown insulation cost | blown in insulation cost"
150.0,"average gutter cost",gutter,commercial,table-led,1,true,,"average gutter cost"
150.0,"how much does gutter guard cost",gutter,commercial,table-led,2,true,,"how much does gutter guard cost | leaf guard gutter cost"
150.0,"how much does landscape design cost",landscaping,commercial,table-led,1,true,,"how much does landscape design cost"
150.0,"how much does kitchen remodel cost",kitchen-remodel,commercial,table-led,6,true,,"how much does kitchen remodel cost | how much does a kitchen remodel cost | small kitchen remodel cost | ikea kitchen remodel cost | kitchen remodel cost calculator | lowes kitchen remodel cost"
150.0,"average kitchen cabinet cost",kitchen-remodel,commercial,table-led,1,true,,"average kitchen cabinet cost"
150.0,"how much garage door cost",garage-door,commercial,table-led,8,true,,"how much garage door cost | new garage door opener cost | how much does a garage door opener cost | how much does a garage door cost | new garage door cost | average garage door cost | single garage door cost | how much does a new garage door cost"
150.0,"average brake job cost",auto-repair,commercial,table-led,3,true,,"average brake job cost | how much does a brake job cost | how much should a brake job cost"
150.0,"how much does a lawyer cost",legal,commercial,table-led,1,true,,"how much does a lawyer cost"
150.0,"how much does a divorce lawyer cost",legal,commercial,table-led,3,true,,"how much does a divorce lawyer cost | divorce lawyer cost | how much divorce lawyer cost"
150.0,"how much does estate planning cost",legal,commercial,table-led,1,true,,"how much does estate planning cost"
150.0,"how much does moving cost",moving,commercial,table-led,1,true,,"how much does moving cost"
150.0,"how much does a mover cost",moving,commercial,table-led,1,true,,"how much does a mover cost"
150.0,"how much does moving company cost",moving,commercial,table-led,4,true,,"how much does moving company cost | how much does a moving company cost | average moving company cost | moving company cost estimate"
144.0,"how much does interior painting cost",painting,commercial,table-led,1,true,,"how much does interior painting cost"
144.0,"how much does window installation cost",window,commercial,table-led,4,true,,"how much does window installation cost | new window installation cost | lowes window installation cost | egress window installation cost"
134.0,"average roof cost",roof,commercial,table-led,4,true,,"average roof cost | average cost roof replacement | average cost of roof replacement | average cost for roof replacement"
133.0,"average moving cost",moving,commercial,table-led,1,true,,"average moving cost"
132.0,"average fence installation cost",fence,commercial,table-led,3,true,,"average fence installation cost | how much does fence installation cost | average fence cost"
131.0,"how much does a driveway cost",concrete,commercial,table-led,3,true,,"how much does a driveway cost | new driveway cost | how much does a new driveway cost"
130.0,"cost of solar panels",solar,commercial,table-led,16,true,,"cost of solar panels | how much solar panels cost | cost for solar panels | how much does solar panels cost | how much to solar panels cost | how much do solar panels cost | home solar panels cost | house solar panels cost | install solar panels cost | solar power panels cost | the cost of solar panels | cost to install solar panels | roof solar panels cost | average cost of solar panels | how much is solar panels cost | how much do solar panels cost for a house"
130.0,"house foundation repair cost",foundation,commercial,table-led,8,true,,"house foundation repair cost | how much does foundation repair cost | home foundation repair cost | basement foundation repair cost | concrete foundation repair cost | slab foundation repair cost | crack in foundation repair cost | cracked foundation repair cost"
130.0,"new hvac cost",hvac,commercial,table-led,3,true,,"new hvac cost | how much does hvac cost | how much does a new hvac cost"
130.0,"car ac replacement cost",hvac,commercial,table-led,1,true,,"car ac replacement cost"
130.0,"new furnace cost",hvac,commercial,table-led,4,true,,"new furnace cost | how much does a furnace cost | how much does new furnace cost | what does a new furnace cost"
130.0,"hvac quotes",hvac,commercial,table-led,1,true,,"hvac quotes"
130.0,"cost of roof replacement",roof,commercial,table-led,13,true,,"cost of roof replacement | roof gutter replacement cost | cost for roof replacement | how much roof replacement cost | cost of a roof replacement | home roof replacement cost | how much does roof replacement cost | how much does a roof replacement cost | roof replacement cost calculator | flat roof replacement cost | roof replacement cost estimate | asphalt roof replacement cost | tile roof replacement cost"
130.0,"roofing quotes",roof,commercial,table-led,1,true,,"roofing quotes"
130.0,"hot water heater cost",plumbing,commercial,table-led,6,true,,"hot water heater cost | hot water heater | how much does a water heater cost | new water heater cost | tankless hot water heater cost | how much does a hot water heater cost"
130.0,"pex repipe cost",plumbing,commercial,table-led,1,true,,"pex repipe cost"
130.0,"plumbing estimates",plumbing,commercial,table-led,1,true,,"plumbing estimates"
130.0,"electrical quotes",electrical,commercial,table-led,1,true,,"electrical quotes"
130.0,"the solar quote",solar,transactional,transactional,1,true,,"the solar quote"
130.0,"asphalt driveway cost",concrete,commercial,table-led,3,true,,"asphalt driveway cost | asphalt driveway cost calculator | how much does an asphalt driveway cost"
130.0,"stamped concrete patio cost",concrete,commercial,table-led,6,true,,"stamped concrete patio cost | stamped concrete patio | how much does concrete patio cost | how much does a concrete patio cost | how much does stamped concrete cost | stamped concrete cost"
130.0,"house painting cost exterior",painting,commercial,table-led,2,true,,"house painting cost exterior | how much does exterior painting cost"
130.0,"painting quotes",painting,commercial,table-led,1,true,,"painting quotes"
130.0,"wood fence cost per foot",fence,commercial,table-led,1,true,,"wood fence cost per foot"
130.0,"foundation quotes",foundation,commercial,table-led,1,true,,"foundation quotes"
130.0,"window installation cost home depot",window,commercial,table-led,1,true,,"window installation cost home depot"
130.0,"window quotes",window,commercial,table-led,1,true,,"window quotes"
130.0,"foam insulation cost",insulation,commercial,table-led,5,true,,"foam insulation cost | insulation spray foam cost | foam spray insulation cost | how much does foam insulation cost | how much does spray foam insulation cost"
