city,state,state_code,population
Marysville,Washington,WA,63269
Perris,California,CA,72326
Cleveland,Ohio,OH,390113
Worcester,Massachusetts,MA,182544
Columbia,South Carolina,SC,133358
Waterbury,Connecticut,CT,109676
Eagan,Minnesota,MN,65453
Southfield,Michigan,MI,73006
Lafayette,Louisiana,LA,124276
Boise City,Idaho,ID,214237
Elkhart,Indiana,IN,51265
Buena Park,California,CA,82882
Marietta,Georgia,GA,59089
Parker,Colorado,CO,48608
West Palm Beach,Florida,FL,102436
Salem,Massachusetts,MA,42544
Aurora,Illinois,IL,199963
Leesburg,Virginia,VA,47673
Doral,Florida,FL,50213
Westminster,California,CA,91739
Lubbock,Texas,TX,239538
Overland Park,Kansas,KS,181260
Jackson,Mississippi,MS,172638
Gastonia,North Carolina,NC,73209
Daytona Beach,Florida,FL,62316
Kansas City,Missouri,MO,467007
Rancho Palos Verdes,California,CA,42448
Burnsville,Minnesota,MN,61434
Rowlett,Texas,TX,58043
Roswell,New Mexico,NM,48611
Montgomery,Alabama,AL,201332
Logan,Utah,UT,48913
Woburn,Massachusetts,MA,39083
Allentown,Pennsylvania,PA,118577
Mount Pleasant,South Carolina,SC,74885
Columbus,Georgia,GA,202824
Buffalo,New York,NY,258959
New Berlin,Wisconsin,WI,39834
North Richland Hills,Texas,TX,67317
Lima,Ohio,OH,38355
Sacramento,California,CA,479686
Fort Smith,Arkansas,AR,87650
East Providence,Rhode Island,RI,47149
Urbandale,Iowa,IA,41776
Mount Vernon,New York,NY,68224
Lakewood,Colorado,CO,147214
Henderson,Nevada,NV,270811
Covina,California,CA,48508
Stamford,Connecticut,CT,126456
Bloomington,Indiana,IN,82575
Kingsport,Tennessee,TN,52962
Spokane,Washington,WA,210721
Kennewick,Washington,WA,76762
Philadelphia,Pennsylvania,PA,1553165
Bellingham,Washington,WA,82631
Visalia,California,CA,127763
La Crosse,Wisconsin,WI,51522
Council Bluffs,Iowa,IA,61969
North Lauderdale,Florida,FL,42757
Dallas,Texas,TX,1257676
Antioch,California,CA,107100
Sterling Heights,Michigan,MI,131224
Deerfield Beach,Florida,FL,78041
Fishers,Indiana,IN,83891
Cheyenne,Wyoming,WY,62448
Murrieta,California,CA,107479
Lenexa,Kansas,KS,50344
Noblesville,Indiana,IN,56540
